Item ID,Item Type,Name,Additional Image,Agreement that must be signed to checkout the item,Amount / Fee,Attachment,Author,Between Buffer Days,Categories,Color,Condition,Daily Late Fee,Date Purchased,Default Loan Length,Description,Dimensions (WxHxD),Eco Rating,Embodied Carbon,Emission Factor,Featured,Floating,Goes Home,Grace period on late fees (in days),Historical Cost,Image,Keywords,Location Code,Maintenance Plans,Manufacturer,Max Frequency,Max Frequency Units,Max Output,Maximum number of renewals,Maximum number that may be reserved,Maximum percentage of inventory that may be reserved,Maximum Reservation Length,Min Frequency,Min Frequency Units,Model,Now Buffer Days,Price to Purchase,Product Code / UPC,Publisher,Purchased,Replacement Cost,Serial Number,Size,Source / Supplier,Tax(es),Transfer Buffer Days,Weight,Date Created,Date Last Edited,Date Last Updated,Shop Use Only,Lost By Member,In Maintenance,Lost In Shop,Not Fixable,Disabled,Wish List
8,Electric Dehydrators,Dehydrator,https://myturn-prod-attachments.s3.amazonaws.com/6/66/item/68365/image_attachment/image-C38E2F04-D93E-ADE2-0BC4-FB97E095D406.jpeg,,[LOAN:0],https://myturn-prod-attachments.s3.amazonaws.com/6/66/item/68365/file_attachment/Exc_DehydrationGuide_EFS_JUNE2014_email-BD8AC48C-51FB-02D6-2F05-8229E6E7CFFB.pdf,,0,"Food, Sustainable Living",,5.0,0.0,,14,"<p>Dehydrator. Temperature select from 95-145 with fan and 24 hour timer. 9 trays. Recipe book and banana slicer are a bonus.</p> 
<p><span>Dimensions:12-1/2 H x 17 W x 19 D inches</span></p> 
<p><span>Electronic guide attached. link:</span> https://www.excaliburdehydrator.com/media/manuals/Exc_DehydrationGuide_EFS_JUNE2014_email.pdf</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/68365/image/dehydrator-B6A3AA5B-6651-75E6-A689-D9533D4756ED.jpg,"frozenset({'food.', 'dehydrator'})",C 1.2,,Excaliber,,,,1,,,7,,,ParallexX,0,,,,,,,,,,0,,2015-07-29 22:39:53-07:00,2022-09-19T05:15:30.000Z,2023-07-15T10:36:19.000-07:00,False,False,False,False,False,False,False
25,Back Saws,Back Saw,,,[LOAN:0],,,0,Carpentry and Woodworking,,4.0,0.0,,14,<p>Does not come with mit or clamps</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73910/image/attribute_image2258315181630512504.jpg,"frozenset({'', 'miter', 'backsaw', 'hand', 'mitre'})",A 1.0,,Stanley,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 10:40:41-07:00,2023-07-26T17:40:35.000Z,2023-07-26T10:40:35.000-07:00,False,False,False,False,False,False,False
28,Squares,Square,,,[LOAN:0],,,0,"Carpentry and Woodworking, Home Maintenance, Remodeling",,5.0,0.0,,14,"<p>carpentry ruler</p> 
<p>16"" X 24""</p> 
<p>Heavy</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73914/image/attribute_image2114364822197038182.jpg,frozenset({''}),D/E End,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 10:50:06-07:00,2022-09-19T05:15:31.000Z,2022-09-18T22:15:31.000-07:00,False,False,False,False,False,False,False
29,Yardsticks,Yardstick,,,[LOAN:0],,,0,"Carpentry and Woodworking, Home Maintenance, Remodeling",,5.0,0.0,,14,,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73915/image/D10EBAC1-3AD0-48FD-8F21-065686207FF5-47CFE1B9-F980-BD05-0F6A-C283AF87521C.jpeg,frozenset({''}),D/E End,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 10:51:40-07:00,2022-09-19T05:15:31.000Z,2022-09-18T22:15:31.000-07:00,False,False,False,False,False,False,False
31,Coping Saws,Coping Saw,,,[LOAN:0],,,0,Carpentry and Woodworking,,5.0,0.0,,14,"<p>10"" long coping saw</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73917/image/attribute_image789540177321494283.jpg,frozenset({'hand'}),A 2.1,,Fuller,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 10:55:33-07:00,2023-07-26T17:40:36.000Z,2023-07-26T10:40:36.000-07:00,False,False,False,False,False,False,False
32,Pry Bar,Pry Bar,,,[LOAN:0],,,0,,,5.0,0.0,,14,"<p>Small, less than 1' long</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73919/image/attribute_image7338497426102661173.jpg,"frozenset({'', 'crowbar', 'crow'})",E 1.0,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 10:57:07-07:00,2022-09-19T05:15:31.000Z,2022-09-18T22:15:31.000-07:00,False,False,False,False,False,False,False
35,Power Sanders,Power Sander,,,[LOAN:0],,,0,,,5.0,0.0,,14,"<p>9"" X 5"" surface</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73923/image/attribute_image441734772567204634.jpg,"frozenset({'', 'Sanding', 'polishing'})",C 1.2,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 11:11:19-07:00,2023-07-17T07:03:05.000Z,2023-07-17T00:03:05.000-07:00,False,False,False,False,False,False,False
38,Key Hole Saws,Key Hole Saw,,,[LOAN:0],,,0,,,4.0,0.0,,14,"<p>6"" blade, 4"" handle</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73926/image/attribute_image8849116813036430140.jpg,"frozenset({'', 'drywall', 'keyhole'})",A 2.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 11:20:14-07:00,2022-09-19T05:15:31.000Z,2022-09-18T22:15:31.000-07:00,False,False,False,False,False,False,False
41,Adjustable Wrench,"Adjustable Wrench, Curved Handle",,,[LOAN:0],,,0,,,5.0,0.0,,14,<p>Tilted handle</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73929/image/attribute_image9189365435668335239.jpg,frozenset({'crescent'}),E 1.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2015-10-04 11:30:16-07:00,2022-09-19T05:15:32.000Z,2022-09-18T22:15:32.000-07:00,False,False,False,False,False,False,False
42,Hobbies & Crafts,Laminator,,,,,,0,,,5.0,0.0,,14,<p>Does not come with laminated sheets</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/73930/image/attribute_image1133249146792351035.jpg,"frozenset({'', 'Laminating', 'lamination', 'laminate'})",A 4.2,,General Binding Corporation,,,,1,,,7,,,Creative 9,0,,,,,,,,,,0,,2015-10-04 11:36:08-07:00,2022-09-19T05:15:32.000Z,2022-09-18T22:15:32.000-07:00,False,False,False,False,False,False,False
